id,Zipcode,Best Season,Best Median Price,Purchase Price,Sale Price,Profit
2470200020,98039,Autumn,2450000.0,1880000.0,2444000.0,564000.0
6447300225,98039,Autumn,2450000.0,1880000.0,2444000.0,564000.0
3262300818,98039,Autumn,2450000.0,1865000.0,2424500.0,559500.0
5425700205,98039,Autumn,2450000.0,1800000.0,2340000.0,540000.0
2525049266,98039,Autumn,2450000.0,1762000.0,2290600.0,528600.0
3738000070,98039,Autumn,2450000.0,1712750.0,2226575.0,513825.0
3262300322,98039,Autumn,2450000.0,1651000.0,2146300.0,495300.0
3025300250,98039,Autumn,2450000.0,1620000.0,2106000.0,486000.0
3262300235,98039,Autumn,2450000.0,1555000.0,2021500.0,466500.0
2525049246,98039,Autumn,2450000.0,1550000.0,2015000.0,465000.0
